O + 6         8         7       5963164.(  )
    1 1S2               (1)0( 0.0)               0.0000
    2 1S1 2S1           (3)0( 1.0)         4528463.7557
    3 1S1 2P1           (3)1( 0.0)         4591099.6118
    4 1S1 2P1           (3)1( 1.0)         4591486.7650
    5 1S1 2P1           (3)1( 2.0)         4592276.8735
    6 1S1 2S1           (1)0( 0.0)         4602097.9229
    7 1S1 2P1           (1)1( 1.0)         4643163.8153
    8 1S1 3S1           (3)0( 1.0)         5347359.9211
    9 1S1 3P1           (3)1( 0.0)         5363908.7448
   10 1S1 3P1           (3)1( 1.0)         5364007.5084
   11 1S1 3P1           (3)1( 2.0)         5364208.9861
   12 1S1 3S1           (1)0( 0.0)         5365145.2647
   13 1S1 3D1           (3)2( 1.0)         5373153.0150
   14 1S1 3D1           (3)2( 2.0)         5373188.5699
   15 1S1 3D1           (3)2( 3.0)         5373251.7786
   16 1S1 3D1           (1)2( 2.0)         5373796.9535
   17 1S1 3P1           (1)1( 1.0)         5376977.1404
   18 1S1 4S1           (3)0( 1.0)         5624241.6143
   19 1S1 4P1           (3)1( 0.0)         5630878.5262
   20 1S1 4P1           (3)1( 1.0)         5630925.9327
   21 1S1 4P1           (3)1( 2.0)         5631024.6963
   22 1S1 4S1           (1)0( 0.0)         5631486.9098
   23 1S1 4D1           (3)2( 1.0)         5634785.6130
   24 1S1 4D1           (3)2( 2.0)         5634801.4152
   25 1S1 4D1           (3)2( 3.0)         5634829.0690
   26 1S1 4F1           (3)3( 2.0)         5635034.4972
   27 1S1 4F1           (3)3( 3.0)         5635034.4972
   28 1S1 4F1           (3)3( 4.0)         5635054.2499
   29 1S1 4F1           (1)3( 3.0)         5635058.2005
   30 1S1 4D1           (1)2( 2.0)         5635141.1619
   31 1S1 4P1           (1)1( 1.0)         5637266.5539
   32 1S1 5S1           (3)0( 1.0)         5750441.7040
   33 1S1 5P1           (3)1( 0.0)         5754024.8463
   34 1S1 5P1           (3)1( 1.0)         5754044.5991
   35 1S1 5P1           (3)1( 2.0)         5754084.1045
   36 1S1 5S1           (1)0( 0.0)         5754854.4603
   37 1S1 5D1           (3)2( 1.0)         5755893.4531
   38 1S1 5D1           (3)2( 2.0)         5755901.3542
   39 1S1 5D1           (3)2( 3.0)         5755917.1563
   40 1S1 5F1           (3)3( 2.0)         5756031.7221
   41 1S1 5F1           (3)3( 3.0)         5756031.7221
   42 1S1 5F1           (3)3( 4.0)         5756043.5737
   43 1S1 5G1           (3)4( 3.0)         5756043.5737
   44 1S1 5G1           (3)4( 4.0)         5756043.5737
   45 1S1 5F1           (1)3( 3.0)         5756043.5737
   46 1S1 5G1           (3)4( 5.0)         5756051.4748
   47 1S1 5G1           (1)4( 4.0)         5756051.4748
   48 1S1 5D1           (1)2( 2.0)         5756083.0791
   49 1S1 5P1           (1)1( 1.0)         5756742.8198
   -1
 7.00    3       9.80+03 2.45+04 4.90+04 9.80+04 2.45+05 4.90+05 9.80+05 2.45+06 4.90+06 9.80+06 2.45+07 4.90+07 9.80+07
   2   1 1.00-30 3.67-02 3.10-02 2.67-02 2.03-02 1.30-02 9.54-03 7.14-03 4.84-03 3.52-03 2.46-03 1.41-03 8.71-04 5.15-04 0.00+00
   3   1 1.00-30 4.61-03 4.00-03 3.53-03 3.10-03 2.79-03 2.65-03 2.43-03 1.97-03 1.53-03 1.08-03 6.00-04 3.54-04 1.99-04 0.00+00
   4   1 3.90+08 1.38-02 1.19-02 1.05-02 9.26-03 8.36-03 7.96-03 7.30-03 5.91-03 4.59-03 3.26-03 1.88-03 1.23-03 8.49-04-7.95-06
   5   1 3.31+05 2.34-02 1.98-02 1.74-02 1.53-02 1.39-02 1.32-02 1.22-02 9.83-03 7.64-03 5.41-03 3.00-03 1.77-03 9.91-04 0.00+00
   6   1 1.00-30 2.20-02 1.86-02 1.55-02 1.24-02 9.70-03 8.78-03 8.36-03 8.45-03 9.02-03 9.91-03 1.13-02 1.22-02 1.29-02 1.44-02
   7   1 3.53+12 1.88-02 1.89-02 1.90-02 1.95-02 2.12-02 2.33-02 2.66-02 3.51-02 4.68-02 6.46-02 9.72-02 1.27-01 1.62-01-6.96-02
   8   1 1.00-30 8.79-03 6.40-03 4.60-03 3.37-03 2.39-03 1.87-03 1.47-03 1.05-03 7.89-04 5.60-04 3.23-04 1.99-04 1.17-04 0.00+00
   9   1 1.00-30 1.04-03 8.20-04 7.16-04 6.69-04 6.37-04 6.02-04 5.53-04 4.56-04 3.59-04 2.57-04 1.44-04 8.51-05 4.79-05 0.00+00
  10   1 1.12+08 2.96-03 2.40-03 2.12-03 1.99-03 1.90-03 1.80-03 1.66-03 1.37-03 1.08-03 7.73-04 4.51-04 2.99-04 2.11-04-1.43-06
  11   1 1.11+05 4.96-03 3.96-03 3.50-03 3.30-03 3.16-03 3.00-03 2.76-03 2.28-03 1.79-03 1.28-03 7.18-04 4.26-04 2.40-04 0.00+00
  12   1 1.00-30 3.01-03 2.27-03 1.91-03 1.75-03 1.64-03 1.57-03 1.54-03 1.61-03 1.74-03 1.94-03 2.24-03 2.45-03 2.62-03 2.98-03
  13   1 1.00-30 3.71-04 3.39-04 3.36-04 3.66-04 3.75-04 3.31-04 2.70-04 1.90-04 1.34-04 8.73-05 4.44-05 2.49-05 1.34-05 0.00+00
  14   1 9.54+05 6.15-04 5.65-04 5.61-04 6.12-04 6.27-04 5.54-04 4.53-04 3.18-04 2.26-04 1.50-04 8.07-05 5.03-05 3.27-05 1.10-05
  15   1 2.43+01 8.50-04 7.85-04 7.80-04 8.53-04 8.73-04 7.71-04 6.30-04 4.42-04 3.12-04 2.03-04 1.03-04 5.81-05 3.13-05 0.00+00
  16   1 1.49+08 1.63-03 1.13-03 9.82-04 9.97-04 9.73-04 8.40-04 6.98-04 6.06-04 6.37-04 7.53-04 9.86-04 1.17-03 1.34-03 1.72-03
  17   1 9.82+11 3.65-03 3.70-03 3.75-03 3.91-03 4.24-03 4.62-03 5.30-03 7.03-03 9.31-03 1.27-02 1.87-02 2.41-02 3.03-02-1.25-02
  18   1 1.00-30 4.10-03 2.60-03 1.87-03 1.39-03 9.95-04 7.90-04 6.28-04 4.50-04 3.34-04 2.34-04 1.34-04 8.23-05 4.85-05 0.00+00
  19   1 1.00-30 3.77-04 3.20-04 3.02-04 2.92-04 2.79-04 2.68-04 2.51-04 2.10-04 1.66-04 1.20-04 6.73-05 4.00-05 2.26-05 0.00+00
  20   1 5.46+07 1.18-03 9.87-04 9.21-04 8.84-04 8.41-04 8.06-04 7.54-04 6.32-04 5.01-04 3.61-04 2.12-04 1.42-04 1.01-04-6.04-07
  21   1 5.38+04 1.89-03 1.61-03 1.52-03 1.46-03 1.40-03 1.34-03 1.26-03 1.05-03 8.35-04 6.00-04 3.37-04 2.01-04 1.13-04 0.00+00
  22   1 1.00-30 1.29-03 9.83-04 8.70-04 7.88-04 6.93-04 6.44-04 6.21-04 6.34-04 6.78-04 7.48-04 8.60-04 9.41-04 1.01-03 1.15-03
  23   1 1.00-30 2.29-04 2.22-04 2.24-04 2.16-04 1.85-04 1.59-04 1.33-04 9.68-05 6.99-05 4.63-05 2.39-05 1.35-05 7.30-06 0.00+00
  24   1 3.84+05 3.87-04 3.73-04 3.75-04 3.62-04 3.11-04 2.66-04 2.22-04 1.62-04 1.17-04 7.85-05 4.21-05 2.56-05 1.58-05 3.30-06
  25   1 1.79+01 5.42-04 5.21-04 5.24-04 5.04-04 4.32-04 3.70-04 3.09-04 2.26-04 1.63-04 1.08-04 5.57-05 3.15-05 1.70-05 0.00+00
  26   1 4.48-04 1.82-04 1.43-04 1.32-04 1.15-04 7.50-05 4.77-05 2.87-05 1.42-05 8.16-06 4.56-06 2.02-06 1.06-06 5.48-07 0.00+00
  27   1 2.04+02 3.15-04 2.47-04 2.33-04 2.06-04 1.35-04 8.61-05 5.19-05 2.60-05 1.56-05 9.79-06 6.11-06 4.89-06 4.31-06 3.84-06
  28   1 1.20-04 3.28-04 2.57-04 2.38-04 2.07-04 1.36-04 8.62-05 5.19-05 2.57-05 1.47-05 8.24-06 3.65-06 1.92-06 9.89-07 0.00+00
  29   1 4.11+02 3.77-04 2.95-04 2.80-04 2.49-04 1.64-04 1.05-04 6.30-05 3.19-05 1.96-05 1.31-05 9.35-06 8.26-06 7.82-06 7.66-06
  30   1 1.00+08 8.97-04 7.89-04 7.48-04 6.80-04 5.42-04 4.42-04 3.69-04 3.25-04 3.38-04 3.91-04 5.02-04 5.93-04 6.74-04 8.66-04
  31   1 4.72+11 1.52-03 1.61-03 1.71-03 1.80-03 1.94-03 2.13-03 2.46-03 3.23-03 4.23-03 5.70-03 8.26-03 1.06-02 1.31-02-5.20-03
  32   1 1.00-30 7.96-04 6.53-04 5.82-04 5.27-04 4.57-04 4.00-04 3.37-04 2.51-04 1.89-04 1.33-04 7.66-05 4.72-05 2.80-05 0.00+00
  33   1 1.00-30 1.24-04 1.17-04 1.16-04 1.17-04 1.17-04 1.15-04 1.08-04 9.00-05 7.06-05 5.03-05 2.81-05 1.67-05 9.38-06 0.00+00
  34   1 1.94+07 3.83-04 3.57-04 3.51-04 3.52-04 3.53-04 3.47-04 3.26-04 2.71-04 2.12-04 1.52-04 8.87-05 5.89-05 4.17-05-2.01-07
  35   1 2.02+04 6.22-04 5.90-04 5.83-04 5.86-04 5.90-04 5.79-04 5.44-04 4.52-04 3.55-04 2.53-04 1.41-04 8.37-05 4.71-05 0.00+00
  36   1 1.00-30 5.36-04 4.57-04 4.26-04 4.08-04 3.94-04 3.88-04 3.88-04 4.02-04 4.28-04 4.68-04 5.33-04 5.79-04 6.17-04 6.98-04
  37   1 1.00-30 8.82-05 8.76-05 8.66-05 8.48-05 7.99-05 7.37-05 6.46-05 4.87-05 3.56-05 2.37-05 1.23-05 6.95-06 3.77-06 0.00+00
  38   1 6.82+05 1.48-04 1.47-04 1.45-04 1.42-04 1.34-04 1.23-04 1.08-04 8.16-05 5.97-05 4.02-05 2.16-05 1.31-05 8.02-06 1.51-06
  39   1 3.78+01 2.06-04 2.05-04 2.02-04 1.98-04 1.87-04 1.72-04 1.51-04 1.14-04 8.31-05 5.54-05 2.87-05 1.62-05 8.81-06 0.00+00
  40   1 3.85-04 2.03-05 1.96-05 1.83-05 1.63-05 1.29-05 1.03-05 7.81-06 4.98-06 3.28-06 2.02-06 9.63-07 5.22-07 2.74-07 0.00+00
  41   1 2.39+05 4.26-05 3.84-05 3.47-05 3.04-05 2.39-05 1.90-05 1.46-05 9.68-06 6.90-06 4.96-06 3.54-06 3.04-06 2.82-06 2.76-06
  42   1 1.70-01 3.66-05 3.54-05 3.30-05 2.93-05 2.33-05 1.85-05 1.41-05 8.97-06 5.91-06 3.63-06 1.73-06 9.40-07 4.94-07 0.00+00
  43   1 1.00-30 3.02-06 2.76-06 2.47-06 2.11-06 1.55-06 1.11-06 7.36-07 3.83-07 2.19-07 1.20-07 5.15-08 2.65-08 1.35-08 0.00+00
  44   1 2.60+03 6.73-06 5.24-06 4.35-06 3.53-06 2.51-06 1.80-06 1.22-06 6.71-07 4.11-07 2.52-07 1.47-07 1.16-07 1.08-07 1.28-07
  45   1 5.97+05 6.44-05 5.50-05 4.85-05 4.17-05 3.25-05 2.59-05 2.00-05 1.37-05 1.04-05 8.18-06 6.80-06 6.48-06 6.45-06 6.89-06
  46   1 1.25-03 4.76-06 4.34-06 3.89-06 3.32-06 2.43-06 1.75-06 1.16-06 6.02-07 3.45-07 1.89-07 8.10-08 4.17-08 2.12-08 0.00+00
  47   1 3.28+03 7.53-06 5.70-06 4.67-06 3.75-06 2.64-06 1.90-06 1.29-06 7.17-07 4.45-07 2.78-07 1.68-07 1.37-07 1.31-07 1.60-07
  48   1 2.04+08 3.75-04 3.39-04 3.15-04 2.88-04 2.48-04 2.16-04 1.88-04 1.69-04 1.75-04 2.01-04 2.58-04 3.05-04 3.48-04 4.52-04
  49   1 1.92+11 7.34-04 7.61-04 7.95-04 8.44-04 9.37-04 1.04-03 1.18-03 1.51-03 1.94-03 2.57-03 3.65-03 4.57-03 5.58-03-1.98-03
   3   2 8.42+07 7.58-01 7.60-01 7.68-01 7.87-01 8.44-01 9.15-01 1.01+00 1.19+00 1.35+00 1.52+00 1.75+00 1.92+00 2.09+00-2.26-01
   4   2 8.58+07 2.26+00 2.27+00 2.30+00 2.36+00 2.53+00 2.75+00 3.04+00 3.56+00 4.04+00 4.56+00 5.26+00 5.77+00 6.27+00-6.76-01
   5   2 8.91+07 3.76+00 3.79+00 3.83+00 3.93+00 4.22+00 4.57+00 5.06+00 5.92+00 6.72+00 7.58+00 8.75+00 9.60+00 1.04+01-1.13+00
   6   2 1.00-30 6.91-02 6.76-02 6.20-02 5.59-02 5.48-02 5.33-02 4.61-02 3.26-02 2.33-02 1.59-02 8.83-03 5.36-03 3.13-03 0.00+00
   7   2 5.93+04 7.53-02 7.45-02 7.37-02 8.02-02 1.03-01 1.07-01 9.06-02 5.76-02 3.64-02 2.16-02 1.03-02 5.94-03 3.63-03-7.76-05
   8   2 1.00-30 5.36-01 4.18-01 3.27-01 2.67-01 2.27-01 2.15-01 2.14-01 2.25-01 2.36-01 2.47-01 2.59-01 2.65-01 2.68-01 2.74-01
   9   2 5.26+10 3.74-02 2.93-02 2.50-02 2.33-02 2.30-02 2.43-02 2.84-02 4.06-02 5.67-02 7.88-02 1.16-01 1.49-01 1.85-01-5.94-02
  10   2 5.26+10 1.26-01 9.47-02 7.87-02 7.16-02 6.98-02 7.33-02 8.52-02 1.22-01 1.70-01 2.36-01 3.49-01 4.49-01 5.57-01-1.78-01
  11   2 5.25+10 1.88-01 1.48-01 1.26-01 1.17-01 1.15-01 1.21-01 1.41-01 2.02-01 2.82-01 3.93-01 5.81-01 7.47-01 9.26-01-2.96-01
  12   2 1.00-30 2.98-02 1.91-02 1.36-02 1.08-02 8.42-03 6.45-03 4.60-03 2.70-03 1.69-03 1.00-03 4.65-04 2.49-04 1.30-04 0.00+00
  13   2 8.42+06 6.72-02 6.67-02 6.66-02 6.88-02 7.28-02 7.73-02 8.53-02 1.02-01 1.18-01 1.34-01 1.51-01 1.58-01 1.63-01 1.68-01
  14   2 8.37+06 1.11-01 1.11-01 1.11-01 1.14-01 1.21-01 1.28-01 1.42-01 1.70-01 1.96-01 2.22-01 2.50-01 2.62-01 2.70-01 2.78-01
  15   2 8.42+06 1.56-01 1.55-01 1.55-01 1.60-01 1.70-01 1.80-01 1.99-01 2.39-01 2.76-01 3.13-01 3.52-01 3.70-01 3.80-01 3.91-01
  16   2 5.37+04 6.60-02 5.80-02 5.43-02 5.42-02 5.14-02 4.42-02 3.48-02 2.26-02 1.51-02 9.72-03 5.48-03 3.78-03 2.84-03 1.78-03
  17   2 5.87+06 2.35-02 1.97-02 1.95-02 2.11-02 2.07-02 1.74-02 1.32-02 8.05-03 5.07-03 3.00-03 1.41-03 7.99-04 4.76-04-1.90-05
  18   2 1.00-30 1.01-01 7.61-02 6.13-02 5.14-02 4.35-02 4.08-02 4.03-02 4.18-02 4.37-02 4.57-02 4.80-02 4.91-02 5.00-02 5.12-02
  19   2 2.44+10 1.77-02 1.26-02 1.05-02 9.18-03 8.07-03 7.84-03 8.35-03 1.05-02 1.36-02 1.79-02 2.53-02 3.19-02 3.90-02-1.20-02
  20   2 2.44+10 5.35-02 3.78-02 3.14-02 2.75-02 2.42-02 2.35-02 2.50-02 3.16-02 4.08-02 5.38-02 7.60-02 9.58-02 1.17-01-3.59-02
  21   2 2.44+10 8.74-02 6.23-02 5.21-02 4.59-02 4.04-02 3.92-02 4.17-02 5.26-02 6.79-02 8.96-02 1.27-01 1.59-01 1.95-01-5.98-02
  22   2 1.00-30 1.72-02 9.92-03 7.07-03 5.26-03 3.43-03 2.42-03 1.68-03 9.88-04 6.23-04 3.71-04 1.73-04 9.32-05 4.88-05 0.00+00
  23   2 1.27+06 1.73-02 1.59-02 1.60-02 1.59-02 1.54-02 1.54-02 1.60-02 1.76-02 1.94-02 2.11-02 2.30-02 2.40-02 2.45-02 2.52-02
  24   2 1.26+06 2.92-02 2.67-02 2.67-02 2.65-02 2.57-02 2.57-02 2.66-02 2.93-02 3.22-02 3.51-02 3.83-02 3.98-02 4.07-02 4.19-02
