O + 6         8         7       5963164.(  )
    1 1S2               (1)0( 0.0)               0.0000
    2 1S1 2S1           (3)0( 1.0)         4526780.8244
    3 1S1 2P1           (3)1( 0.0)         4587804.8591
    4 1S1 2P1           (3)1( 1.0)         4588164.3585
    5 1S1 2P1           (3)1( 2.0)         4588899.1594
    6 1S1 2S1           (1)0( 0.0)         4594785.4682
    7 1S1 2P1           (1)1( 1.0)         4636021.2339
    8 1S1 3S1           (3)0( 1.0)         5343038.0272
    9 1S1 3P1           (3)1( 0.0)         5359436.7304
   10 1S1 3P1           (3)1( 1.0)         5359539.4445
   11 1S1 3P1           (3)1( 2.0)         5359744.8727
   12 1S1 3S1           (1)0( 0.0)         5360665.3492
   13 1S1 3D1           (3)2( 1.0)         5368692.8522
   14 1S1 3D1           (3)2( 2.0)         5368728.4071
   15 1S1 3D1           (3)2( 3.0)         5368791.6157
   16 1S1 3D1           (1)2( 2.0)         5369320.9885
   17 1S1 3P1           (1)1( 1.0)         5372615.7412
   18 1S1 4S1           (3)0( 1.0)         5619884.1656
   19 1S1 4P1           (3)1( 0.0)         5626556.6324
   20 1S1 4P1           (3)1( 1.0)         5626596.1378
   21 1S1 4P1           (3)1( 2.0)         5626683.0497
   22 1S1 4S1           (1)0( 0.0)         5626987.2415
   23 1S1 4D1           (3)2( 1.0)         5630317.5491
   24 1S1 4D1           (3)2( 2.0)         5630333.3513
   25 1S1 4D1           (3)2( 3.0)         5630361.0051
   26 1S1 4F1           (3)3( 2.0)         5630562.4828
   27 1S1 4F1           (3)3( 3.0)         5630562.4828
   28 1S1 4F1           (3)3( 4.0)         5630582.2355
   29 1S1 4F1           (1)3( 3.0)         5630586.1860
   30 1S1 4D1           (1)2( 2.0)         5630649.3947
   31 1S1 4P1           (1)1( 1.0)         5631972.8265
   32 1S1 5S1           (3)0( 1.0)         5746202.7716
   33 1S1 5P1           (3)1( 0.0)         5749548.8813
   34 1S1 5P1           (3)1( 1.0)         5749568.6341
   35 1S1 5P1           (3)1( 2.0)         5749608.1395
   36 1S1 5S1           (1)0( 0.0)         5749770.1117
   37 1S1 5D1           (3)2( 1.0)         5751425.3892
   38 1S1 5D1           (3)2( 2.0)         5751433.2903
   39 1S1 5D1           (3)2( 3.0)         5751445.1419
   40 1S1 5F1           (3)3( 2.0)         5751559.7076
   41 1S1 5F1           (3)3( 3.0)         5751559.7076
   42 1S1 5F1           (3)3( 4.0)         5751571.5593
   43 1S1 5G1           (3)4( 3.0)         5751571.5593
   44 1S1 5G1           (3)4( 4.0)         5751571.5593
   45 1S1 5F1           (1)3( 3.0)         5751571.5593
   46 1S1 5G1           (3)4( 5.0)         5751579.4603
   47 1S1 5G1           (1)4( 4.0)         5751579.4603
   48 1S1 5D1           (1)2( 2.0)         5751611.0647
   49 1S1 5P1           (1)1( 1.0)         5752294.5086
   -1
 7.00    3       9.80+03 2.45+04 4.90+04 9.80+04 2.45+05 4.90+05 9.80+05 2.45+06 4.90+06 9.80+06 2.45+07 4.90+07 9.80+07
   2   1 1.00-30 1.99-02 2.85-02 2.84-02 2.27-02 1.45-02 1.04-02 7.54-03 4.94-03 3.53-03 2.44-03 1.38-03 8.49-04 5.00-04 0.00+00
   3   1 1.00-30 3.62-03 3.45-03 3.21-03 2.90-03 2.67-03 2.55-03 2.33-03 1.88-03 1.45-03 1.03-03 5.67-04 3.34-04 1.87-04 0.00+00
   4   1 3.83+08 1.35-02 1.15-02 1.02-02 8.97-03 8.10-03 7.69-03 7.02-03 5.64-03 4.37-03 3.09-03 1.77-03 1.16-03 7.98-04-7.83-06
   5   1 3.22+05 1.63-02 1.65-02 1.56-02 1.42-02 1.32-02 1.27-02 1.16-02 9.36-03 7.24-03 5.12-03 2.83-03 1.67-03 9.32-04 0.00+00
   6   1 1.00-30 2.56-02 1.93-02 1.50-02 1.17-02 9.25-03 8.48-03 8.16-03 8.33-03 8.93-03 9.85-03 1.12-02 1.22-02 1.29-02 1.43-02
   7   1 3.43+12 1.83-02 1.84-02 1.85-02 1.89-02 2.05-02 2.25-02 2.56-02 3.38-02 4.51-02 6.23-02 9.39-02 1.23-01 1.57-01-6.80-02
   8   1 1.00-30 8.13-03 6.05-03 4.41-03 3.27-03 2.36-03 1.86-03 1.47-03 1.06-03 7.93-04 5.64-04 3.27-04 2.02-04 1.19-04 0.00+00
   9   1 1.00-30 8.13-04 7.20-04 6.68-04 6.48-04 6.33-04 6.04-04 5.57-04 4.61-04 3.63-04 2.60-04 1.45-04 8.62-05 4.85-05 0.00+00
  10   1 1.19+08 2.62-03 2.25-03 2.06-03 1.97-03 1.91-03 1.82-03 1.67-03 1.38-03 1.09-03 7.83-04 4.57-04 3.03-04 2.14-04-1.53-06
  11   1 1.14+05 4.13-03 3.64-03 3.36-03 3.26-03 3.17-03 3.02-03 2.79-03 2.30-03 1.81-03 1.30-03 7.27-04 4.31-04 2.43-04 0.00+00
  12   1 1.00-30 3.35-03 2.57-03 2.11-03 1.88-03 1.72-03 1.63-03 1.60-03 1.66-03 1.80-03 2.01-03 2.33-03 2.55-03 2.74-03 3.13-03
  13   1 1.00-30 3.93-04 3.51-04 3.43-04 3.70-04 3.75-04 3.31-04 2.70-04 1.90-04 1.34-04 8.73-05 4.44-05 2.49-05 1.34-05 0.00+00
  14   1 9.84+05 6.61-04 5.88-04 5.75-04 6.20-04 6.28-04 5.54-04 4.52-04 3.18-04 2.26-04 1.50-04 8.13-05 5.11-05 3.35-05 1.20-05
  15   1 2.34+01 9.12-04 8.16-04 8.00-04 8.64-04 8.75-04 7.71-04 6.30-04 4.42-04 3.12-04 2.04-04 1.04-04 5.81-05 3.14-05 0.00+00
  16   1 1.44+08 1.43-03 1.04-03 9.38-04 9.69-04 9.49-04 8.22-04 6.89-04 6.09-04 6.49-04 7.74-04 1.02-03 1.21-03 1.38-03 1.76-03
  17   1 1.01+12 3.73-03 3.78-03 3.82-03 3.98-03 4.30-03 4.68-03 5.37-03 7.09-03 9.38-03 1.28-02 1.88-02 2.43-02 3.06-02-1.28-02
