O + 6         8         7       5963164.(  )
    1 1S2               (1)0( 0.0)               0.0000
    2 1S1 2S1           (3)0( 1.0)         4543230.8847
    3 1S1 2P1           (3)1( 0.0)         4607498.3149
    4 1S1 2P1           (3)1( 1.0)         4607794.6056
    5 1S1 2P1           (3)1( 2.0)         4608402.9892
    6 1S1 2S1           (1)0( 0.0)         4609244.4548
    7 1S1 2P1           (1)1( 1.0)         4649856.0348
    8 1S1 3S1           (3)0( 1.0)         5362174.4566
    9 1S1 3S1           (1)0( 0.0)         5375148.0391
   10 1S1 3P1           (3)1( 0.0)         5380370.6567
   11 1S1 3P1           (3)1( 1.0)         5380433.8654
   12 1S1 3P1           (3)1( 2.0)         5380564.2333
   13 1S1 3D1           (3)2( 1.0)         5384684.6494
   14 1S1 3D1           (3)2( 2.0)         5384708.3527
   15 1S1 3D1           (3)2( 3.0)         5384759.7097
   16 1S1 3D1           (1)2( 2.0)         5385119.2091
   17 1S1 3P1           (1)1( 1.0)         5388974.9389
   18 1S1 4S1           (3)0( 1.0)         5638886.2764
   19 1S1 4S1           (1)0( 0.0)         5642607.6878
   20 1S1 4F1           (3)3( 2.0)         5644697.5249
   21 1S1 4F1           (3)3( 3.0)         5644697.5249
   22 1S1 4F1           (3)3( 4.0)         5644713.3271
   23 1S1 4F1           (1)3( 3.0)         5644713.3271
   24 1S1 4P1           (3)1( 0.0)         5647079.7022
   25 1S1 4P1           (3)1( 1.0)         5647095.5044
   26 1S1 4P1           (3)1( 2.0)         5647131.0593
   27 1S1 4D1           (3)2( 1.0)         5648497.9471
   28 1S1 4D1           (3)2( 2.0)         5648505.8482
   29 1S1 4D1           (3)2( 3.0)         5648521.6503
   30 1S1 4D1           (1)2( 2.0)         5648652.0182
   31 1S1 4P1           (1)1( 1.0)         5649513.2366
   32 1S1 5S1           (3)0( 1.0)         5766251.7763
   33 1S1 5G1           (3)4( 3.0)         5766421.6496
   34 1S1 5G1           (3)4( 4.0)         5766421.6496
   35 1S1 5G1           (3)4( 5.0)         5766425.6002
   36 1S1 5G1           (1)4( 4.0)         5766425.6002
   37 1S1 5S1           (1)0( 0.0)         5767357.9283
   38 1S1 5F1           (3)3( 2.0)         5769601.8366
   39 1S1 5F1           (3)3( 3.0)         5769601.8366
   40 1S1 5F1           (3)3( 4.0)         5769605.7871
   41 1S1 5F1           (1)3( 3.0)         5769605.7871
   42 1S1 5P1           (3)1( 0.0)         5770897.6146
   43 1S1 5P1           (3)1( 1.0)         5770901.5652
   44 1S1 5P1           (3)1( 2.0)         5770913.4168
   45 1S1 5P1           (1)1( 1.0)         5771608.7123
   46 1S1 5D1           (3)2( 1.0)         5771782.5362
   47 1S1 5D1           (3)2( 2.0)         5771786.4868
   48 1S1 5D1           (3)2( 3.0)         5771790.4373
   49 1S1 5D1           (1)2( 2.0)         5771829.9427
   -1
 7.00    3       9.80+03 2.45+04 4.90+04 9.80+04 2.45+05 4.90+05 9.80+05 2.45+06 4.90+06 9.80+06 2.45+07 4.90+07 9.80+07
   2   1 1.00-30 4.94-02 3.85-02 2.93-02 2.03-02 1.24-02 9.00-03 6.73-03 4.57-03 3.34-03 2.34-03 1.34-03 8.32-04 4.93-04 0.00+00
   3   1 1.00-30 3.31-03 3.03-03 2.76-03 2.56-03 2.49-03 2.45-03 2.28-03 1.85-03 1.44-03 1.02-03 5.64-04 3.32-04 1.86-04 0.00+00
   4   1 3.05+08 9.99-03 9.09-03 8.27-03 7.66-03 7.48-03 7.36-03 6.84-03 5.56-03 4.32-03 3.07-03 1.76-03 1.15-03 7.96-04-6.16-06
   5   1 2.86+05 1.49-02 1.44-02 1.34-02 1.26-02 1.24-02 1.22-02 1.14-02 9.24-03 7.17-03 5.08-03 2.81-03 1.66-03 9.29-04 0.00+00
   6   1 1.00-30 1.36-02 1.25-02 1.05-02 8.99-03 8.13-03 7.99-03 8.01-03 8.41-03 9.10-03 1.01-02 1.13-02 1.18-02 1.21-02 1.22-02
   7   1 3.07+12 1.84-02 1.85-02 1.86-02 1.91-02 2.08-02 2.27-02 2.58-02 3.40-02 4.54-02 6.26-02 9.34-02 1.21-01 1.52-01-6.02-02
   8   1 1.00-30 1.94-03 1.71-03 1.70-03 1.77-03 1.71-03 1.52-03 1.28-03 9.75-04 7.50-04 5.42-04 3.18-04 1.98-04 1.17-04 0.00+00
   9   1 1.00-30 6.08-04 5.87-04 5.90-04 6.09-04 6.14-04 5.90-04 5.48-04 4.55-04 3.60-04 2.80-04 3.54-04 5.98-04 9.26-04 2.01-03
  10   1 1.00-30 1.79-03 1.73-03 1.76-03 1.83-03 1.84-03 1.77-03 1.64-03 1.36-03 1.08-03 7.72-04 4.34-04 2.58-04 1.46-04 0.00+00
  11   1 7.00+07 2.99-03 2.89-03 2.93-03 3.05-03 3.08-03 2.96-03 2.74-03 2.28-03 1.79-03 1.29-03 7.53-04 4.98-04 3.49-04-8.87-07
  12   1 7.38+04 1.40-03 1.40-03 1.48-03 1.57-03 1.61-03 1.59-03 1.59-03 1.68-03 1.84-03 2.02-03 1.99-03 1.68-03 1.25-03 0.00+00
  13   1 1.00-30 2.63-04 2.62-04 3.07-04 3.64-04 3.73-04 3.26-04 2.66-04 1.87-04 1.32-04 8.61-05 4.38-05 2.46-05 1.33-05 0.00+00
  14   1 1.37+06 4.37-04 4.38-04 5.13-04 6.09-04 6.24-04 5.46-04 4.45-04 3.13-04 2.23-04 1.48-04 8.06-05 5.04-05 3.25-05 9.42-06
  15   1 2.68+01 6.15-04 6.13-04 7.17-04 8.49-04 8.68-04 7.59-04 6.18-04 4.34-04 3.07-04 2.01-04 1.02-04 5.74-05 3.10-05 0.00+00
  16   1 1.63+08 5.93-04 6.22-04 7.66-04 9.18-04 9.28-04 8.04-04 6.79-04 6.11-04 6.59-04 7.84-04 9.73-04 1.07-03 1.12-03 1.12-03
  17   1 6.54+11 3.66-03 3.65-03 3.78-03 3.99-03 4.33-03 4.70-03 5.37-03 7.08-03 9.34-03 1.26-02 1.81-02 2.26-02 2.72-02-8.25-03
  18   1 1.00-30 9.76-04 1.01-03 9.68-04 8.88-04 7.52-04 6.47-04 5.44-04 4.08-04 3.10-04 2.22-04 1.29-04 8.00-05 4.75-05 0.00+00
  19   1 1.00-30 2.54-04 2.62-04 2.64-04 2.60-04 2.47-04 2.35-04 2.18-04 1.81-04 1.43-04 1.09-04 1.17-04 1.79-04 2.66-04 5.63-04
  20   1 2.92-04 8.29-04 8.15-04 8.07-04 7.87-04 7.43-04 7.06-04 6.56-04 5.45-04 4.30-04 3.08-04 1.73-04 1.03-04 5.84-05 0.00+00
  21   1 1.43+05 1.38-03 1.36-03 1.35-03 1.31-03 1.24-03 1.18-03 1.09-03 9.09-04 7.17-04 5.15-04 2.94-04 1.82-04 1.10-04 3.15-06
  22   1 7.71-02 8.12-04 7.95-04 7.70-04 7.29-04 6.68-04 6.39-04 6.32-04 6.61-04 7.15-04 7.78-04 7.63-04 6.41-04 4.78-04 0.00+00
  23   1 2.51+05 2.10-04 2.24-04 2.25-04 2.11-04 1.76-04 1.49-04 1.24-04 9.07-05 6.55-05 4.35-05 2.33-05 1.46-05 9.86-06 5.52-06
  24   1 1.00-30 3.85-04 3.89-04 3.84-04 3.56-04 2.95-04 2.50-04 2.08-04 1.52-04 1.10-04 7.38-05 3.91-05 2.29-05 1.29-05 0.00+00
  25   1 1.74+07 5.37-04 5.43-04 5.36-04 4.95-04 4.10-04 3.48-04 2.90-04 2.11-04 1.53-04 1.01-04 5.37-05 3.28-05 2.10-05-1.91-07
  26   1 1.91+04 1.16-04 1.28-04 1.29-04 1.10-04 6.90-05 4.32-05 2.60-05 1.30-05 7.51-06 4.23-06 1.89-06 9.95-07 5.14-07 0.00+00
  27   1 1.00-30 2.63-04 2.58-04 2.51-04 2.10-04 1.30-04 8.06-05 4.84-05 2.46-05 1.51-05 9.62-06 5.64-06 3.76-06 2.43-06 0.00+00
  28   1 1.06+06 2.42-04 2.44-04 2.39-04 2.02-04 1.25-04 7.78-05 4.67-05 2.33-05 1.35-05 7.62-06 3.62-06 2.33-06 1.84-06 2.05-06
  29   1 3.44+01 3.33-04 3.21-04 3.09-04 2.58-04 1.58-04 9.81-05 5.89-05 3.03-05 1.91-05 1.29-05 8.35-06 5.90-06 3.97-06 0.00+00
  30   1 1.91+08 9.39-04 8.04-04 7.33-04 6.39-04 4.93-04 4.03-04 3.40-04 3.08-04 3.28-04 3.83-04 4.55-04 4.74-04 4.65-04 3.69-04
  31   1 1.63+11 1.78-03 1.68-03 1.68-03 1.69-03 1.76-03 1.90-03 2.16-03 2.81-03 3.65-03 4.87-03 6.76-03 8.11-03 9.34-03-1.79-03
  32   1 1.00-30 4.70-04 4.64-04 4.52-04 4.31-04 3.87-04 3.41-04 2.88-04 2.13-04 1.60-04 1.12-04 6.44-05 3.97-05 2.35-05 0.00+00
  33   1 1.00-30 8.22-06 4.05-05 6.92-05 9.10-05 1.07-04 1.10-04 1.06-04 8.92-05 7.05-05 5.04-05 2.83-05 1.68-05 9.47-06 0.00+00
  34   1 4.20+04 2.47-05 1.22-04 2.08-04 2.73-04 3.21-04 3.31-04 3.18-04 2.68-04 2.12-04 1.52-04 8.70-05 5.39-05 3.26-05 8.29-07
  35   1 2.02-02 4.13-05 2.03-04 3.48-04 4.57-04 5.36-04 5.53-04 5.32-04 4.48-04 3.54-04 2.54-04 1.42-04 8.44-05 4.76-05 0.00+00
  36   1 5.27+04 2.55-05 1.24-04 2.09-04 2.70-04 3.11-04 3.24-04 3.33-04 3.49-04 3.74-04 4.06-04 4.09-04 3.59-04 2.81-04 1.04-06
  37   1 1.00-30 6.98-06 3.12-05 5.09-05 6.40-05 7.02-05 6.81-05 6.14-05 4.72-05 3.48-05 2.59-05 3.61-05 6.52-05 1.03-04 2.29-04
  38   1 1.32-04 1.62-05 5.96-05 9.10-05 1.11-04 1.19-04 1.15-04 1.03-04 7.91-05 5.83-05 3.94-05 2.09-05 1.22-05 6.84-06 0.00+00
  39   1 3.61+06 2.27-05 8.31-05 1.27-04 1.54-04 1.66-04 1.60-04 1.44-04 1.10-04 8.11-05 5.44-05 2.89-05 1.74-05 1.07-05 2.80-06
  40   1 2.19+00 1.90-06 6.69-06 9.67-06 1.08-05 1.01-05 8.61-06 6.82-06 4.51-06 3.02-06 1.87-06 9.03-07 4.91-07 2.59-07 0.00+00
  41   1 7.12+06 3.44-06 1.21-05 1.74-05 1.96-05 1.84-05 1.57-05 1.27-05 8.83-06 6.51-06 4.87-06 3.87-06 3.82-06 4.10-06 5.54-06
  42   1 1.00-30 4.14-06 1.30-05 1.81-05 1.99-05 1.83-05 1.56-05 1.23-05 8.12-06 5.44-06 3.38-06 1.63-06 8.85-07 4.66-07 0.00+00
  43   1 2.66+06 2.46-07 7.60-07 1.03-06 1.10-06 9.27-07 7.02-07 4.79-07 2.56-07 1.48-07 8.25-08 3.92-08 2.83-08 2.93-08-2.74-08
  44   1 2.96+03 4.00-07 1.23-06 1.67-06 1.77-06 1.51-06 1.17-06 8.30-07 4.75-07 2.96-07 1.81-07 9.42-08 5.73-08 3.43-08 0.00+00
  45   1 2.65+10 6.00-06 1.77-05 2.41-05 2.63-05 2.43-05 2.08-05 1.69-05 1.22-05 9.69-06 1.11-05 4.09-05 1.02-04 2.00-04-2.72-04
  46   1 1.00-30 4.41-07 1.26-06 1.67-06 1.75-06 1.46-06 1.11-06 7.54-07 4.03-07 2.33-07 1.29-07 5.59-08 2.89-08 1.47-08 0.00+00
  47   1 3.11+06 4.79-07 1.36-06 1.80-06 1.89-06 1.60-06 1.25-06 8.86-07 5.12-07 3.23-07 2.08-07 1.76-07 2.33-07 3.25-07 6.51-07
  48   1 1.19+02 4.48-05 1.33-04 1.85-04 2.10-04 2.09-04 1.94-04 1.77-04 1.66-04 1.77-04 2.02-04 2.12-04 1.84-04 1.40-04 0.00+00
  49   1 6.34+08 1.26-04 3.90-04 5.80-04 7.27-04 8.83-04 1.00-03 1.16-03 1.49-03 1.90-03 2.45-03 2.88-03 2.71-03 2.22-03 1.33-04
   3   2 1.03+08 7.87-01 7.93-01 8.03-01 8.25-01 8.84-01 9.57-01 1.06+00 1.23+00 1.40+00 1.57+00 1.82+00 2.00+00 2.18+00-2.56-01
   4   2 1.05+08 2.36+00 2.38+00 2.41+00 2.47+00 2.65+00 2.87+00 3.17+00 3.70+00 4.19+00 4.72+00 5.45+00 6.00+00 6.54+00-7.67-01
   5   2 1.08+08 3.92+00 3.96+00 4.02+00 4.12+00 4.42+00 4.78+00 5.27+00 6.15+00 6.96+00 7.85+00 9.06+00 9.97+00 1.09+01-1.28+00
   6   2 1.00-30 6.36-02 5.95-02 5.32-02 4.92-02 5.16-02 5.13-02 4.47-02 3.18-02 2.29-02 1.57-02 8.80-03 5.38-03 3.16-03 0.00+00
   7   2 4.82+04 7.38-02 7.31-02 7.27-02 8.12-02 1.05-01 1.08-01 9.04-02 5.70-02 3.60-02 2.14-02 1.02-02 5.91-03 3.64-03-7.85-05
   8   2 1.00-30 1.95-01 1.83-01 1.81-01 1.84-01 1.90-01 1.95-01 2.03-01 2.18-01 2.31-01 2.41-01 2.44-01 2.36-01 2.24-01 1.88-01
   9   2 1.00-30 1.80-02 1.81-02 1.90-02 2.05-02 2.23-02 2.42-02 2.86-02 4.11-02 5.71-02 7.63-02 8.79-02 7.86-02 6.07-02 0.00+00
  10   2 3.79+10 5.39-02 5.44-02 5.75-02 6.21-02 6.72-02 7.29-02 8.59-02 1.23-01 1.72-01 2.36-01 3.28-01 3.87-01 4.34-01-4.25-02
  11   2 3.78+10 8.97-02 9.04-02 9.57-02 1.03-01 1.12-01 1.21-01 1.43-01 2.05-01 2.85-01 3.94-01 5.55-01 6.70-01 7.74-01-1.27-01
  12   2 3.78+10 4.89-03 5.06-03 6.05-03 7.14-03 6.93-03 5.62-03 4.13-03 2.48-03 1.71-03 4.59-03 3.77-02 1.01-01 1.96-01-2.12-01
  13   2 7.21+06 6.46-02 6.39-02 6.60-02 6.99-02 7.44-02 7.89-02 8.70-02 1.04-01 1.20-01 1.35-01 1.50-01 1.56-01 1.58-01 1.57-01
  14   2 7.15+06 1.07-01 1.06-01 1.09-01 1.16-01 1.23-01 1.31-01 1.44-01 1.72-01 1.98-01 2.24-01 2.49-01 2.58-01 2.62-01 2.59-01
  15   2 7.22+06 1.51-01 1.49-01 1.54-01 1.63-01 1.74-01 1.84-01 2.03-01 2.43-01 2.80-01 3.16-01 3.52-01 3.65-01 3.70-01 3.65-01
  16   2 6.01+04 4.84-02 4.66-02 4.88-02 5.23-02 5.07-02 4.37-02 3.45-02 2.25-02 1.52-02 9.87-03 5.71-03 4.05-03 3.15-03 2.17-03
  17   2 4.12+06 1.47-02 1.55-02 1.85-02 2.14-02 2.08-02 1.73-02 1.30-02 7.87-03 4.95-03 2.93-03 1.38-03 7.81-04 4.65-04-1.34-05
  18   2 1.00-30 3.77-02 4.04-02 4.04-02 3.92-02 3.74-02 3.69-02 3.75-02 3.95-02 4.14-02 4.30-02 4.20-02 3.87-02 3.44-02 2.21-02
  19   2 1.00-30 6.83-03 7.48-03 7.70-03 7.57-03 7.18-03 7.20-03 7.81-03 9.94-03 1.28-02 1.61-02 1.78-02 1.57-02 1.20-02 0.00+00
  20   2 1.83+03 2.18-02 2.32-02 2.36-02 2.29-02 2.16-02 2.17-02 2.35-02 2.98-02 3.83-02 4.86-02 5.51-02 5.04-02 4.09-02 7.34-03
  21   2 1.17+03 3.63-02 3.87-02 3.93-02 3.83-02 3.61-02 3.61-02 3.91-02 4.97-02 6.38-02 8.09-02 9.11-02 8.24-02 6.55-02 6.55-03
  22   2 1.83+03 4.28-03 4.43-03 4.26-03 3.69-03 2.65-03 1.97-03 1.43-03 8.77-04 5.72-04 5.36-04 1.84-03 3.99-03 6.46-03 1.32-02
  23   2 6.66+02 1.43-02 1.58-02 1.63-02 1.62-02 1.56-02 1.56-02 1.62-02 1.79-02 1.96-02 2.11-02 2.05-02 1.78-02 1.42-02 3.73-03
  24   2 7.52+09 2.59-02 2.74-02 2.77-02 2.72-02 2.61-02 2.61-02 2.70-02 2.98-02 3.27-02 3.56-02 3.93-02 4.19-02 4.44-02-3.68-03
  25   2 7.52+09 3.64-02 3.85-02 3.89-02 3.82-02 3.66-02 3.66-02 3.80-02 4.19-02 4.59-02 5.02-02 5.64-02 6.18-02 6.79-02-1.10-02
  26   2 7.52+09 1.36-02 1.45-02 1.44-02 1.35-02 1.17-02 1.07-02 1.01-02 1.01-02 1.03-02 1.09-02 1.41-02 1.97-02 2.80-02-1.84-02
  27   2 2.58+04 2.13-02 2.10-02 2.02-02 1.83-02 1.51-02 1.30-02 1.16-02 1.06-02 1.03-02 1.03-02 1.13-02 1.29-02 1.46-02 1.92-02
  28   2 2.57+04 2.66-02 2.71-02 2.65-02 2.46-02 2.11-02 1.92-02 1.83-02 1.81-02 1.85-02 1.92-02 2.11-02 2.33-02 2.56-02 3.18-02
  29   2 2.60+04 2.20-02 2.10-02 1.98-02 1.76-02 1.38-02 1.13-02 9.28-03 7.42-03 6.55-03 6.58-03 1.06-02 1.71-02 2.45-02 4.47-02
  30   2 1.54+02 2.53-02 2.39-02 2.26-02 2.05-02 1.68-02 1.38-02 1.08-02 6.98-03 4.60-03 2.85-03 1.44-03 8.68-04 5.48-04 1.77-04
  31   2 9.23+05 1.35-02 1.24-02 1.17-02 1.04-02 8.18-03 6.50-03 4.91-03 3.03-03 1.92-03 1.14-03 5.36-04 2.99-04 1.73-04-1.35-06
  32   2 1.00-30 1.37-02 1.38-02 1.38-02 1.37-02 1.38-02 1.39-02 1.42-02 1.48-02 1.53-02 1.57-02 1.59-02 1.57-02 1.54-02 1.44-02
  33   2 4.52+00 2.45-04 1.19-03 2.00-03 2.58-03 3.00-03 3.21-03 3.49-03 4.28-03 5.32-03 6.54-03 7.14-03 6.33-03 4.94-03 2.64-04
  34   2 2.51+00 7.34-04 3.57-03 6.01-03 7.75-03 9.00-03 9.62-03 1.05-02 1.29-02 1.60-02 1.96-02 2.13-02 1.88-02 1.45-02 1.89-04
  35   2 4.52+00 1.23-03 5.95-03 1.00-02 1.29-02 1.50-02 1.60-02 1.75-02 2.14-02 2.66-02 3.27-02 3.56-02 3.14-02 2.42-02 4.15-04
  36   2 2.00+00 8.13-05 3.90-04 6.42-04 7.95-04 8.25-04 7.47-04 6.15-04 4.12-04 2.74-04 1.71-04 1.00-04 8.89-05 9.69-05 1.51-04
  37   2 1.00-30 4.80-04 2.18-03 3.63-03 4.73-03 5.60-03 5.99-03 6.30-03 6.78-03 7.24-03 7.59-03 7.06-03 5.77-03 4.23-03 0.00+00
  38   2 1.68+04 1.11-03 4.14-03 6.46-03 8.14-03 9.45-03 1.00-02 1.05-02 1.13-02 1.20-02 1.27-02 1.21-02 1.04-02 8.32-03 2.16-03
  39   2 1.12+04 1.56-03 5.81-03 9.06-03 1.14-02 1.33-02 1.41-02 1.48-02 1.59-02 1.69-02 1.78-02 1.69-02 1.44-02 1.12-02 2.01-03
  40   2 1.68+04 6.46-04 2.38-03 3.66-03 4.51-03 5.02-03 5.11-03 5.10-03 5.09-03 5.14-03 5.20-03 5.14-03 4.94-03 4.68-03 3.90-03
  41   2 5.66+03 8.42-04 3.09-03 4.74-03 5.79-03 6.32-03 6.26-03 6.01-03 5.63-03 5.45-03 5.30-03 4.80-03 4.08-03 3.26-03 1.02-03
  42   2 1.84+07 1.41-03 4.62-03 6.84-03 8.27-03 9.10-03 9.23-03 9.20-03 9.18-03 9.27-03 9.43-03 9.65-03 9.78-03 9.85-03-6.56-06
  43   2 1.84+07 1.50-04 4.79-04 6.85-04 7.85-04 7.78-04 7.10-04 6.25-04 5.31-04 4.88-04 4.71-04 4.73-04 4.83-04 4.96-04-1.96-05
  44   2 1.84+07 1.66-04 5.30-04 7.57-04 8.63-04 8.41-04 7.46-04 6.25-04 4.84-04 4.12-04 3.70-04 3.46-04 3.46-04 3.55-04-3.27-05
  45   2 1.94+03 1.02-03 3.12-03 4.48-03 5.26-03 5.45-03 5.10-03 4.50-03 3.63-03 3.10-03 2.75-03 2.50-03 2.41-03 2.37-03-2.07-09
  46   2 8.55+06 2.68-04 7.93-04 1.11-03 1.25-03 1.23-03 1.12-03 9.84-04 8.35-04 7.70-04 7.98-04 1.27-03 2.00-03 2.82-03 5.06-03
  47   2 8.51+06 1.81-04 5.35-04 7.43-04 8.36-04 8.04-04 7.05-04 5.80-04 4.33-04 3.62-04 4.33-04 1.32-03 2.67-03 4.21-03 8.40-03
  48   2 8.55+06 1.31-03 3.95-03 5.62-03 6.53-03 6.61-03 5.96-03 4.88-03 3.23-03 2.14-03 1.49-03 2.15-03 3.86-03 5.94-03 1.18-02
  49   2 4.17+04 7.41-04 2.22-03 3.15-03 3.64-03 3.61-03 3.19-03 2.55-03 1.62-03 1.04-03 6.18-04 2.92-04 1.67-04 1.02-04 4.15-05
   4   3 4.74-04 1.45-01 1.42-01 1.36-01 1.33-01 1.42-01 1.43-01 1.25-01 8.83-02 6.15-02 4.01-02 2.08-02 1.20-02 6.70-03 0.00+00
