# from CHIANTI/dbase/ioneq/chianti.ioneq
# extracted with PINTofALE: ioneq=rd_ioneq(26,logT,chidir=!CHIDIR,eqfile=!IONEQF) & for i=0,100 do print,logT[i],ioneq[i,17-1]
# vlk 2019-jul-17
logT	ion_FeXVII
5.50000	0.00000
5.55000	3.53996e-41
5.60000	4.38200e-36
5.65000	1.65200e-31
5.70000	2.20100e-27
5.75000	1.16900e-23
5.80000	2.73200e-20
5.85000	3.05400e-17
5.90000	1.74200e-14
5.95000	5.30600e-12
6.00000	8.86700e-10
6.05000	8.24200e-08
6.10000	4.29000e-06
6.15000	0.000125400
6.20000	0.00204700
6.25000	0.0183200
6.30000	0.0873500
6.35000	0.229500
6.40000	0.390900
6.45000	0.521100
6.50000	0.610900
6.55000	0.665200
6.60000	0.688100
6.65000	0.680800
6.70000	0.642900
6.75000	0.574900
6.80000	0.480100
6.85000	0.366900
6.90000	0.249600
6.95000	0.146000
7.00000	0.0704000
7.05000	0.0268100
7.10000	0.00783000
7.15000	0.00177600
7.20000	0.000334700
7.25000	5.73200e-05
7.30000	9.57500e-06
7.35000	1.62600e-06
7.40000	2.86700e-07
7.45000	5.27900e-08
7.50000	1.01600e-08
7.55000	2.03400e-09
7.60000	4.21200e-10
7.65000	8.96300e-11
7.70000	1.94500e-11
7.75000	4.27200e-12
7.80000	9.43400e-13
7.85000	2.08200e-13
7.90000	4.57100e-14
7.95000	9.96200e-15
8.00000	2.15600e-15
8.05000	4.64000e-16
8.10000	9.96700e-17
8.15000	2.14500e-17
8.20000	4.64200e-18
8.25000	1.01300e-18
8.30000	2.23700e-19
8.35000	5.00300e-20
8.40000	1.13500e-20
8.45000	2.61600e-21
8.50000	0.00000
