# from CHIANTI/dbase/ioneq/chianti.ioneq
# extracted with PINTofALE: ioneq=rd_ioneq(26,logT,chidir=!CHIDIR,eqfile=!IONEQF) & rr=nenh(logT,eqfile=!IONEQF,chidir=!CHIDIR) & for i=0,100 do print,logT[i],1/rr[i]
# vlk 2019-jul-17
logT	ratio_nHne
5.50000	0.850156
5.55000	0.849907
5.60000	0.849765
5.65000	0.849684
5.70000	0.849604
5.75000	0.849531
5.80000	0.849445
5.85000	0.849355
5.90000	0.849252
5.95000	0.849156
6.00000	0.849049
6.05000	0.848926
6.10000	0.848791
6.15000	0.848647
6.20000	0.848491
6.25000	0.848321
6.30000	0.848138
6.35000	0.847949
6.40000	0.847767
6.45000	0.847604
6.50000	0.847470
6.55000	0.847367
6.60000	0.847290
6.65000	0.847229
6.70000	0.847180
6.75000	0.847140
6.80000	0.847105
6.85000	0.847072
6.90000	0.847040
6.95000	0.847006
7.00000	0.846968
7.05000	0.846927
7.10000	0.846884
7.15000	0.846844
7.20000	0.846810
7.25000	0.846785
7.30000	0.846768
7.35000	0.846754
7.40000	0.846744
7.45000	0.846736
7.50000	0.846730
7.55000	0.846724
7.60000	0.846719
7.65000	0.846715
7.70000	0.846711
7.75000	0.846706
7.80000	0.846701
7.85000	0.846696
7.90000	0.846691
7.95000	0.846685
8.00000	0.846680
8.05000	0.846675
8.10000	0.846671
8.15000	0.846667
8.20000	0.846663
8.25000	0.846661
8.30000	0.846658
8.35000	0.846656
8.40000	0.846654
8.45000	0.846653
8.50000	0.846651
