# 
# 
# EIS/Hinode Spectrum for eis_l1_20130708_002042
# px = 3
# py = 55
# ref wave = 202.044
# 
# wavelengths - Angstrom
# counts - intensities in counts
# ints_pre - erg/cm^2/s/sr/A from pre-flight calibration
# ints_nrl - erg/cm^2/s/sr/A from NRL in-flight calibration
# 
# missing data = -100.                                                             
# 
# TIME STAMP = Thu Feb 11 06:59:47 2016
# WARNING: Spectrum generated with beta software
# 
#     WAVE        COUNTS         ERROR      INTS_PRE       ERR_PRE      INTS_NRL       ERR_NRL
# Start Window 1
   166.386     5.389e+00     2.321e+00     4.189e+04     1.805e+04     6.107e+04     2.631e+04
   166.408     5.448e+00     2.334e+00     4.227e+04     1.811e+04     6.149e+04     2.634e+04
   166.431     7.302e+00     2.702e+00     5.657e+04     2.093e+04     8.207e+04     3.037e+04
   166.453     4.489e+00     2.119e+00     3.471e+04     1.639e+04     5.024e+04     2.371e+04
   166.475     8.730e+00     2.955e+00     6.742e+04     2.282e+04     9.731e+04     3.293e+04
   166.498     5.769e+00     2.402e+00     4.449e+04     1.852e+04     6.404e+04     2.666e+04
   166.520     4.523e+00     2.127e+00     3.483e+04     1.638e+04     4.999e+04     2.351e+04
   166.542     8.534e+00     2.921e+00     6.564e+04     2.247e+04     9.394e+04     3.216e+04
   166.564     5.717e+00     2.391e+00     4.389e+04     1.836e+04     6.262e+04     2.619e+04
   166.587     8.859e+00     2.976e+00     6.799e+04     2.284e+04     9.669e+04     3.249e+04
   166.609     5.362e+00     2.316e+00     4.111e+04     1.775e+04     5.827e+04     2.517e+04
   166.631     9.467e+00     3.077e+00     7.253e+04     2.357e+04     1.025e+05     3.330e+04
   166.654     8.785e+00     2.964e+00     6.725e+04     2.269e+04     9.468e+04     3.194e+04
   166.676     7.073e+00     2.660e+00     5.410e+04     2.034e+04     7.590e+04     2.854e+04
   166.698     5.646e+00     2.376e+00     4.316e+04     1.816e+04     6.033e+04     2.539e+04
   166.721     7.057e+00     2.657e+00     5.392e+04     2.030e+04     7.509e+04     2.827e+04
   166.743     6.409e+00     2.532e+00     4.894e+04     1.933e+04     6.790e+04     2.682e+04
   166.765     5.707e+00     2.389e+00     4.355e+04     1.823e+04     6.020e+04     2.520e+04
   166.788     6.127e+00     2.475e+00     4.674e+04     1.888e+04     6.435e+04     2.600e+04
   166.810     7.765e+00     2.787e+00     5.922e+04     2.125e+04     8.121e+04     2.914e+04
   166.832     5.118e+00     2.262e+00     3.902e+04     1.725e+04     5.330e+04     2.356e+04
   166.855     8.275e+00     2.877e+00     6.308e+04     2.193e+04     8.579e+04     2.983e+04
   166.877     6.363e+00     2.522e+00     4.849e+04     1.922e+04     6.569e+04     2.604e+04
   166.899     7.404e+00     2.721e+00     5.642e+04     2.073e+04     7.610e+04     2.797e+04
   166.922     7.588e+00     2.755e+00     5.781e+04     2.099e+04     7.765e+04     2.819e+04
   166.944     6.219e+00     2.494e+00     4.738e+04     1.900e+04     6.336e+04     2.541e+04
   166.966     3.668e+00     1.915e+00     2.795e+04     1.459e+04     3.721e+04     1.943e+04
   166.988     9.825e+00     3.135e+00     7.486e+04     2.388e+04     9.923e+04     3.166e+04
   167.011     8.438e+00     2.905e+00     6.429e+04     2.213e+04     8.485e+04     2.921e+04
   167.033     7.348e+00     2.711e+00     5.598e+04     2.065e+04     7.357e+04     2.714e+04
   167.055     7.594e+00     2.756e+00     5.787e+04     2.100e+04     7.571e+04     2.747e+04
   167.078     6.125e+00     2.475e+00     4.668e+04     1.886e+04     6.080e+04     2.456e+04
